Detector;Time;qPKW;vPKW
302:7;60;5.0;13.9
302:9;60;4.0;13.9
304:1;60;0.0;13.9
304:11;60;0.0;13.9
304:13;60;3.0;13.9
304:17;60;2.0;13.9
304:3;60;3.0;13.9
404:13;60;14.0;13.9
404:15;60;8.0;13.9
404:7;60;7.0;13.9
404:9;60;6.0;13.9
404:11;60;4.0;13.9
404:1;60;8.0;13.9
404:3;60;8.0;13.9
404:5;60;2.0;13.9
404:19;60;2.0;13.9
404:21;60;5.0;13.9
404:23;60;4.0;13.9
502:1;60;3.0;13.9
502:11;60;12.0;13.9
502:13;60;7.0;13.9
502:15;60;8.0;13.9
502:17;60;8.0;13.9
502:19;60;0.0;13.9
502:21;60;4.0;13.9
502:23;60;3.0;13.9
502:3;60;6.0;13.9
502:5;60;2.0;13.9
502:7;60;4.0;13.9
502:9;60;3.0;13.9
601:1;60;5.0;13.9
601:11;60;5.0;13.9
601:13;60;3.0;13.9
601:15;60;0.0;13.9
601:17;60;1.0;13.9
601:7;60;3.0;13.9
306:1;120;8.0;13.9
306:11;120;2.0;13.9
306:13;120;2.0;13.9
306:15;120;0.0;13.9
306:17;120;1.0;13.9
306:19;120;0.0;13.9
306:21;120;1.0;13.9
306:23;120;4.0;13.9
306:25;120;4.0;13.9
306:27;120;3.0;13.9
306:29;120;3.0;13.9
306:3;120;6.0;13.9
306:5;120;6.0;13.9
306:7;120;3.0;13.9
306:9;120;1.0;13.9
402:1;120;7.0;13.9
402:3;120;2.0;13.9
402:5;120;3.0;13.9
402:7;120;1.0;13.9
402:9;120;4.0;13.9
402:11;120;3.0;13.9
402:13;120;2.0;13.9
402:15;120;5.0;13.9
402:17;120;2.0;13.9
402:19;120;0.0;13.9
601:1;120;4.0;13.9
601:11;120;3.0;13.9
601:13;120;3.0;13.9
601:15;120;0.0;13.9
601:17;120;1.0;13.9
601:7;120;2.0;13.9
302:9;120;2.0;13.9
302:11;120;2.0;13.9
302:13;120;2.0;13.9
302:25;120;4.0;13.9
302:27;120;10.0;13.9
302:15;120;2.0;13.9
302:29;120;3.0;13.9
302:17;120;1.0;13.9
302:19;120;2.0;13.9
302:21;120;4.0;13.9
302:3;120;1.0;13.9
302:5;120;5.0;13.9
302:23;120;4.0;13.9
302:7;120;3.0;13.9
404:1;120;3.0;13.9
404:11;120;3.0;13.9
404:13;120;5.0;13.9
404:15;120;7.0;13.9
404:19;120;1.0;13.9
404:21;120;3.0;13.9
404:23;120;2.0;13.9
404:3;120;6.0;13.9
404:5;120;1.0;13.9
404:7;120;3.0;13.9
404:9;120;4.0;13.9
502:1;120;1.0;13.9
502:11;120;7.0;13.9
502:13;120;2.0;13.9
502:15;120;4.0;13.9
502:17;120;5.0;13.9
502:19;120;0.0;13.9
502:21;120;1.0;13.9
502:23;120;1.0;13.9
502:3;120;5.0;13.9
502:5;120;1.0;13.9
502:7;120;3.0;13.9
502:9;120;4.0;13.9
601:1;120;4.0;13.9
601:11;120;3.0;13.9
601:13;120;3.0;13.9
601:15;120;0.0;13.9
601:17;120;1.0;13.9
601:7;120;2.0;13.9
306:1;180;4.0;13.9
306:11;180;2.0;13.9
306:13;180;0.0;13.9
306:15;180;1.0;13.9
306:17;180;1.0;13.9
306:19;180;0.0;13.9
306:21;180;1.0;13.9
306:23;180;3.0;13.9
306:25;180;3.0;13.9
306:27;180;1.0;13.9
306:29;180;1.0;13.9
306:3;180;5.0;13.9
306:5;180;3.0;13.9
306:7;180;2.0;13.9
306:9;180;1.0;13.9
402:1;180;5.0;13.9
402:3;180;4.0;13.9
402:5;180;4.0;13.9
402:9;180;2.0;13.9
402:11;180;2.0;13.9
402:13;180;2.0;13.9
402:15;180;5.0;13.9
402:17;180;2.0;13.9
402:19;180;0.0;13.9
601:1;180;2.0;13.9
601:11;180;1.0;13.9
601:13;180;2.0;13.9
601:15;180;0.0;13.9
601:17;180;1.0;13.9
601:5;180;0.0;13.9
601:7;180;1.0;13.9
302:1;180;0.0;13.9
302:11;180;3.0;13.9
302:13;180;0.0;13.9
302:15;180;1.0;13.9
302:17;180;2.0;13.9
302:21;180;2.0;13.9
302:23;180;3.0;13.9
302:25;180;1.0;13.9
302:27;180;7.0;13.9
302:29;180;2.0;13.9
302:3;180;1.0;13.9
302:5;180;2.0;13.9
302:7;180;1.0;13.9
302:9;180;1.0;13.9
404:1;180;2.0;13.9
404:11;180;2.0;13.9
404:13;180;5.0;13.9
404:15;180;3.0;13.9
404:19;180;1.0;13.9
404:21;180;2.0;13.9
404:23;180;1.0;13.9
404:3;180;4.0;13.9
404:5;180;1.0;13.9
404:7;180;2.0;13.9
404:9;180;3.0;13.9
502:1;180;1.0;13.9
502:11;180;3.0;13.9
502:13;180;0.0;13.9
502:15;180;2.0;13.9
502:17;180;4.0;13.9
502:21;180;1.0;13.9
502:23;180;2.0;13.9
502:3;180;2.0;13.9
502:5;180;2.0;13.9
502:7;180;1.0;13.9
502:9;180;0.0;13.9
601:1;180;2.0;13.9
601:11;180;1.0;13.9
601:13;180;2.0;13.9
601:15;180;0.0;13.9
601:17;180;1.0;13.9
601:5;180;0.0;13.9
601:7;180;1.0;13.9
306:1;240;2.0;13.9
306:11;240;1.0;13.9
306:13;240;2.0;13.9
306:17;240;0.0;13.9
306:21;240;1.0;13.9
306:23;240;3.0;13.9
306:25;240;2.0;13.9
306:27;240;1.0;13.9
306:29;240;1.0;13.9
306:3;240;4.0;13.9
306:5;240;3.0;13.9
306:7;240;1.0;13.9
306:9;240;1.0;13.9
402:1;240;3.0;13.9
402:11;240;1.0;13.9
402:13;240;1.0;13.9
402:15;240;5.0;13.9
402:17;240;2.0;13.9
402:19;240;0.0;13.9
402:3;240;3.0;13.9
402:5;240;2.0;13.9
402:7;240;0.0;13.9
402:9;240;0.0;13.9
601:1;240;1.0;13.9
601:11;240;1.0;13.9
601:13;240;1.0;13.9
601:17;240;1.0;13.9
601:7;240;2.0;13.9
302:11;240;1.0;13.9
302:13;240;2.0;13.9
302:15;240;2.0;13.9
302:17;240;0.0;13.9
302:19;240;0.0;13.9
302:21;240;8.0;13.9
302:23;240;2.0;13.9
302:25;240;1.0;13.9
302:27;240;3.0;13.9
302:29;240;2.0;13.9
302:5;240;2.0;13.9
302:7;240;2.0;13.9
302:9;240;1.0;13.9
404:1;240;2.0;13.9
404:11;240;2.0;13.9
404:13;240;3.0;13.9
404:15;240;2.0;13.9
404:19;240;1.0;13.9
404:21;240;1.0;13.9
404:23;240;0.0;13.9
404:3;240;4.0;13.9
404:5;240;1.0;13.9
404:7;240;3.0;13.9
404:9;240;2.0;13.9
502:1;240;2.0;13.9
502:11;240;4.0;13.9
502:13;240;1.0;13.9
502:15;240;2.0;13.9
502:17;240;6.0;13.9
502:19;240;0.0;13.9
502:21;240;1.0;13.9
502:23;240;2.0;13.9
502:3;240;1.0;13.9
502:5;240;1.0;13.9
502:7;240;2.0;13.9
502:9;240;1.0;13.9
601:1;240;1.0;13.9
601:11;240;1.0;13.9
601:13;240;1.0;13.9
601:17;240;1.0;13.9
601:7;240;2.0;13.9
306:1;300;3.0;13.9
306:11;300;1.0;13.9
306:13;300;2.0;13.9
306:17;300;1.0;13.9
306:21;300;2.0;13.9
306:23;300;3.0;13.9
306:25;300;3.0;13.9
306:27;300;2.0;13.9
306:29;300;2.0;13.9
306:3;300;5.0;13.9
306:5;300;6.0;13.9
306:7;300;2.0;13.9
402:1;300;8.0;13.9
402:11;300;2.0;13.9
402:13;300;2.0;13.9
402:15;300;2.0;13.9
402:17;300;1.0;13.9
402:19;300;1.0;13.9
402:3;300;3.0;13.9
402:5;300;3.0;13.9
402:7;300;0.0;13.9
402:9;300;2.0;13.9
601:1;300;2.0;13.9
601:11;300;2.0;13.9
601:13;300;2.0;13.9
601:15;300;0.0;13.9
601:17;300;3.0;13.9
601:7;300;2.0;13.9
302:11;300;2.0;13.9
302:15;300;2.0;13.9
302:17;300;2.0;13.9
302:19;300;0.0;13.9
302:21;300;5.0;13.9
302:23;300;2.0;13.9
302:25;300;2.0;13.9
302:27;300;5.0;13.9
302:29;300;1.0;13.9
302:3;300;0.0;13.9
302:5;300;1.0;13.9
302:7;300;2.0;13.9
302:9;300;2.0;13.9
404:1;300;2.0;13.9
404:11;300;2.0;13.9
404:13;300;3.0;13.9
404:15;300;3.0;13.9
404:19;300;1.0;13.9
404:21;300;4.0;13.9
404:23;300;5.0;13.9
404:3;300;3.0;13.9
404:7;300;6.0;13.9
404:9;300;3.0;13.9
502:11;300;25.0;13.9
502:13;300;2.0;13.9
502:17;300;7.0;13.9
502:19;300;0.0;13.9
502:21;300;1.0;13.9
502:23;300;2.0;13.9
502:3;300;1.0;13.9
502:5;300;1.0;13.9
502:7;300;2.0;13.9
502:9;300;1.0;13.9
601:1;300;2.0;13.9
601:11;300;2.0;13.9
601:13;300;2.0;13.9
601:15;300;0.0;13.9
601:17;300;3.0;13.9
601:7;300;2.0;13.9
306:1;360;12.0;13.9
306:11;360;7.0;13.9
306:13;360;8.0;13.9
306:15;360;3.0;13.9
306:17;360;4.0;13.9
306:19;360;1.0;13.9
306:21;360;5.0;13.9
306:23;360;11.0;13.9
306:25;360;7.0;13.9
306:27;360;9.0;13.9
306:29;360;5.0;13.9
306:3;360;21.0;13.9
306:5;360;11.0;13.9
306:7;360;4.0;13.9
402:1;360;20.0;13.9
402:11;360;2.0;13.9
402:13;360;9.0;13.9
402:15;360;7.0;13.9
402:17;360;6.0;13.9
402:19;360;2.0;13.9
402:3;360;8.0;13.9
402:5;360;7.0;13.9
402:7;360;2.0;13.9
402:9;360;6.0;13.9
601:7;360;2.0;13.9
601:15;360;0.0;13.9
601:17;360;1.0;13.9
601:11;360;4.0;13.9
601:13;360;2.0;13.9
601:1;360;6.0;13.9
302:11;360;5.0;13.9
302:13;360;3.0;13.9
302:15;360;5.0;13.9
302:17;360;2.0;13.9
302:21;360;24.0;13.9
302:23;360;4.0;13.9
302:25;360;1.0;13.9
302:27;360;16.0;13.9
302:29;360;4.0;13.9
302:3;360;1.0;13.9
302:5;360;8.0;13.9
302:7;360;3.0;13.9
302:9;360;9.0;13.9
404:13;360;17.0;13.9
404:15;360;16.0;13.9
404:7;360;18.0;13.9
404:9;360;11.0;13.9
404:11;360;4.0;13.9
404:1;360;13.0;13.9
404:3;360;11.0;13.9
404:5;360;2.0;13.9
404:19;360;7.0;13.9
404:21;360;19.0;13.9
404:23;360;15.0;13.9
502:1;360;1.0;13.9
502:11;360;68.0;13.9
502:13;360;10.0;13.9
502:15;360;1.0;13.9
502:17;360;19.0;13.9
502:19;360;8.0;13.9
502:21;360;6.0;13.9
502:23;360;7.0;13.9
502:3;360;6.0;13.9
502:5;360;5.0;13.9
502:7;360;5.0;13.9
502:9;360;4.0;13.9
601:7;360;2.0;13.9
601:15;360;0.0;13.9
601:17;360;1.0;13.9
601:11;360;4.0;13.9
601:13;360;2.0;13.9
601:1;360;6.0;13.9
306:1;420;42.0;13.9
306:11;420;14.0;13.9
306:13;420;13.0;13.9
306:15;420;3.0;13.9
306:17;420;12.0;13.9
306:19;420;2.0;13.9
306:21;420;9.0;13.9
306:23;420;19.0;13.9
306:25;420;10.0;13.9
306:27;420;14.0;13.9
306:29;420;17.0;13.9
306:3;420;56.0;13.9
306:5;420;35.0;13.9
306:7;420;6.0;13.9
306:9;420;6.0;13.9
402:1;420;50.0;13.9
402:11;420;8.0;13.9
402:13;420;12.0;13.9
402:15;420;22.0;13.9
402:17;420;20.0;13.9
402:19;420;8.0;13.9
402:3;420;26.0;13.9
402:5;420;19.0;13.9
402:7;420;1.0;13.9
402:9;420;21.0;13.9
601:7;420;7.0;13.9
601:17;420;2.0;13.9
601:11;420;19.0;13.9
601:13;420;8.0;13.9
601:1;420;8.0;13.9
302:1;420;0.0;13.9
302:11;420;16.0;13.9
302:13;420;6.0;13.9
302:15;420;8.0;13.9
302:17;420;5.0;13.9
302:19;420;3.0;13.9
302:21;420;24.0;13.9
302:23;420;9.0;13.9
302:25;420;3.0;13.9
302:27;420;46.0;13.9
302:29;420;8.0;13.9
302:3;420;1.0;13.9
302:5;420;15.0;13.9
302:7;420;12.0;13.9
302:9;420;18.0;13.9
304:1;420;8.0;13.9
304:11;420;10.0;13.9
304:13;420;28.0;13.9
304:15;420;3.0;13.9
304:17;420;13.0;13.9
304:3;420;17.0;13.9
304:5;420;2.0;13.9
404:13;420;50.0;13.9
404:15;420;46.0;13.9
404:7;420;25.0;13.9
404:9;420;21.0;13.9
404:11;420;7.0;13.9
404:1;420;25.0;13.9
404:3;420;27.0;13.9
404:5;420;3.0;13.9
404:19;420;29.0;13.9
404:21;420;55.0;13.9
404:23;420;27.0;13.9
502:19;420;19.0;13.9
502:21;420;29.0;13.9
502:23;420;19.0;13.9
502:1;420;4.0;13.9
502:3;420;21.0;13.9
502:5;420;19.0;13.9
502:11;420;108.0;13.9
502:13;420;40.0;13.9
502:15;420;5.0;13.9
502:17;420;38.0;13.9
502:7;420;22.0;13.9
502:9;420;12.0;13.9
601:7;420;7.0;13.9
601:17;420;2.0;13.9
601:11;420;19.0;13.9
601:13;420;8.0;13.9
601:1;420;8.0;13.9
306:9;480;45.0;13.9
306:11;480;68.0;13.9
306:27;480;163.0;13.9
306:29;480;109.0;13.9
306:13;480;105.0;13.9
306:1;480;162.0;13.9
306:23;480;78.0;13.9
306:15;480;27.0;13.9
306:17;480;40.0;13.9
306:19;480;10.0;13.9
306:3;480;194.0;13.9
306:5;480;176.0;13.9
306:25;480;40.0;13.9
306:21;480;58.0;13.9
306:7;480;22.0;13.9
402:1;480;172.0;13.9
402:3;480;133.0;13.9
402:5;480;119.0;13.9
402:7;480;5.0;13.9
402:9;480;80.0;13.9
402:11;480;46.0;13.9
402:13;480;69.0;13.9
402:15;480;94.0;13.9
402:17;480;92.0;13.9
402:19;480;55.0;13.9
601:1;480;35.0;13.9
601:11;480;56.0;13.9
601:13;480;40.0;13.9
601:15;480;1.0;13.9
601:17;480;12.0;13.9
601:7;480;34.0;13.9
302:1;480;4.0;13.9
302:11;480;76.0;13.9
302:13;480;40.0;13.9
302:15;480;46.0;13.9
302:17;480;15.0;13.9
302:19;480;38.0;13.9
302:21;480;100.0;13.9
302:23;480;31.0;13.9
302:25;480;26.0;13.9
302:27;480;152.0;13.9
302:29;480;77.0;13.9
302:3;480;16.0;13.9
302:5;480;86.0;13.9
302:7;480;74.0;13.9
302:9;480;134.0;13.9
304:11;480;80.0;13.9
304:13;480;150.0;13.9
304:1;480;65.0;13.9
304:3;480;111.0;13.9
304:15;480;40.0;13.9
304:5;480;40.0;13.9
304:17;480;64.0;13.9
404:13;480;178.0;13.9
404:15;480;141.0;13.9
404:17;480;0.0;13.9
404:7;480;168.0;13.9
404:9;480;153.0;13.9
404:11;480;28.0;13.9
404:1;480;118.0;13.9
404:3;480;141.0;13.9
404:5;480;31.0;13.9
404:19;480;179.0;13.9
404:21;480;204.0;13.9
404:23;480;136.0;13.9
502:19;480;143.0;13.9
502:21;480;199.0;13.9
502:23;480;78.0;13.9
502:1;480;24.0;13.9
502:3;480;102.0;13.9
502:5;480;100.0;13.9
502:11;480;232.0;13.9
502:13;480;179.0;13.9
502:15;480;52.0;13.9
502:17;480;109.0;13.9
502:7;480;87.0;13.9
502:9;480;43.0;13.9
601:1;480;35.0;13.9
601:11;480;56.0;13.9
601:13;480;40.0;13.9
601:15;480;1.0;13.9
601:17;480;12.0;13.9
601:7;480;34.0;13.9
306:1;540;174.0;13.9
306:11;540;77.0;13.9
306:13;540;100.0;13.9
306:15;540;52.0;13.9
306:17;540;69.0;13.9
306:19;540;25.0;13.9
306:21;540;77.0;13.9
306:23;540;61.0;13.9
306:25;540;48.0;13.9
306:27;540;131.0;13.9
306:29;540;95.0;13.9
306:3;540;206.0;13.9
306:5;540;182.0;13.9
306:7;540;29.0;13.9
306:9;540;51.0;13.9
402:1;540;108.0;13.9
402:3;540;135.0;13.9
402:5;540;95.0;13.9
402:7;540;5.0;13.9
402:9;540;80.0;13.9
402:11;540;60.0;13.9
402:13;540;57.0;13.9
402:15;540;96.0;13.9
402:17;540;116.0;13.9
402:19;540;43.0;13.9
601:1;540;52.0;13.9
601:11;540;49.0;13.9
601:13;540;41.0;13.9
601:15;540;1.0;13.9
601:17;540;24.0;13.9
601:5;540;1.0;13.9
601:7;540;38.0;13.9
302:9;540;171.0;13.9
302:11;540;93.0;13.9
302:13;540;37.0;13.9
302:25;540;45.0;13.9
302:27;540;155.0;13.9
302:15;540;47.0;13.9
302:29;540;100.0;13.9
302:17;540;24.0;13.9
302:19;540;47.0;13.9
302:21;540;104.0;13.9
302:1;540;8.0;13.9
302:3;540;26.0;13.9
302:5;540;61.0;13.9
302:23;540;38.0;13.9
302:7;540;47.0;13.9
304:11;540;124.0;13.9
304:13;540;194.0;13.9
304:1;540;95.0;13.9
304:3;540;165.0;13.9
304:15;540;41.0;13.9
304:5;540;66.0;13.9
304:17;540;78.0;13.9
404:13;540;130.0;13.9
404:15;540;105.0;13.9
404:17;540;1.0;13.9
404:7;540;128.0;13.9
404:9;540;167.0;13.9
404:11;540;46.0;13.9
404:1;540;126.0;13.9
404:3;540;154.0;13.9
404:5;540;37.0;13.9
404:19;540;184.0;13.9
404:21;540;219.0;13.9
404:23;540;164.0;13.9
502:19;540;120.0;13.9
502:21;540;163.0;13.9
502:23;540;61.0;13.9
502:1;540;51.0;13.9
502:3;540;124.0;13.9
502:5;540;137.0;13.9
502:11;540;196.0;13.9
502:13;540;183.0;13.9
502:15;540;52.0;13.9
502:17;540;107.0;13.9
502:7;540;79.0;13.9
502:9;540;41.0;13.9
601:1;540;52.0;13.9
601:11;540;49.0;13.9
601:13;540;41.0;13.9
601:15;540;1.0;13.9
601:17;540;24.0;13.9
601:5;540;1.0;13.9
601:7;540;38.0;13.9
306:9;600;31.0;13.9
306:11;600;50.0;13.9
306:27;600;96.0;13.9
306:29;600;73.0;13.9
306:13;600;51.0;13.9
306:1;600;140.0;13.9
306:23;600;74.0;13.9
306:15;600;35.0;13.9
306:17;600;46.0;13.9
306:19;600;19.0;13.9
306:3;600;152.0;13.9
306:5;600;149.0;13.9
306:25;600;43.0;13.9
306:21;600;67.0;13.9
306:7;600;29.0;13.9
402:1;600;108.0;13.9
402:3;600;121.0;13.9
402:5;600;75.0;13.9
402:7;600;5.0;13.9
402:9;600;80.0;13.9
402:11;600;50.0;13.9
402:13;600;41.0;13.9
402:15;600;97.0;13.9
402:17;600;91.0;13.9
402:19;600;35.0;13.9
601:5;600;1.0;13.9
601:7;600;39.0;13.9
601:15;600;4.0;13.9
601:17;600;24.0;13.9
601:11;600;46.0;13.9
601:13;600;46.0;13.9
601:1;600;44.0;13.9
302:9;600;140.0;13.9
302:11;600;73.0;13.9
302:13;600;27.0;13.9
302:25;600;32.0;13.9
302:27;600;141.0;13.9
302:15;600;54.0;13.9
302:29;600;86.0;13.9
302:17;600;21.0;13.9
302:19;600;17.0;13.9
302:21;600;82.0;13.9
302:1;600;10.0;13.9
302:3;600;26.0;13.9
302:5;600;73.0;13.9
302:23;600;24.0;13.9
302:7;600;55.0;13.9
304:11;600;100.0;13.9
304:13;600;187.0;13.9
304:1;600;65.0;13.9
304:3;600;149.0;13.9
304:15;600;36.0;13.9
304:5;600;49.0;13.9
304:17;600;84.0;13.9
404:13;600;105.0;13.9
404:15;600;85.0;13.9
404:17;600;0.0;13.9
404:7;600;112.0;13.9
404:9;600;112.0;13.9
404:11;600;32.0;13.9
404:1;600;111.0;13.9
404:3;600;120.0;13.9
404:5;600;33.0;13.9
404:19;600;157.0;13.9
404:21;600;203.0;13.9
404:23;600;154.0;13.9
502:19;600;110.0;13.9
502:21;600;131.0;13.9
502:23;600;68.0;13.9
502:1;600;47.0;13.9
502:3;600;105.0;13.9
502:5;600;92.0;13.9
502:11;600;147.0;13.9
502:13;600;116.0;13.9
502:15;600;27.0;13.9
502:17;600;63.0;13.9
502:7;600;99.0;13.9
502:9;600;55.0;13.9
601:5;600;1.0;13.9
601:7;600;39.0;13.9
601:15;600;4.0;13.9
601:17;600;24.0;13.9
601:11;600;46.0;13.9
601:13;600;46.0;13.9
601:1;600;44.0;13.9
306:9;660;31.0;13.9
306:11;660;54.0;13.9
306:27;660;93.0;13.9
306:29;660;81.0;13.9
306:13;660;45.0;13.9
306:1;660;145.0;13.9
306:23;660;87.0;13.9
306:15;660;38.0;13.9
306:17;660;48.0;13.9
306:19;660;21.0;13.9
306:3;660;136.0;13.9
306:5;660;139.0;13.9
306:25;660;41.0;13.9
306:21;660;77.0;13.9
306:7;660;37.0;13.9
402:1;660;110.0;13.9
402:3;660;90.0;13.9
402:5;660;79.0;13.9
402:7;660;8.0;13.9
402:9;660;90.0;13.9
402:11;660;63.0;13.9
402:13;660;47.0;13.9
402:15;660;90.0;13.9
402:17;660;79.0;13.9
402:19;660;32.0;13.9
601:1;660;50.0;13.9
601:11;660;57.0;13.9
601:13;660;43.0;13.9
601:15;660;3.0;13.9
601:17;660;24.0;13.9
601:5;660;2.0;13.9
601:7;660;40.0;13.9
302:9;660;149.0;13.9
302:11;660;62.0;13.9
302:13;660;34.0;13.9
302:25;660;47.0;13.9
302:27;660;158.0;13.9
302:15;660;66.0;13.9
302:29;660;97.0;13.9
302:17;660;26.0;13.9
302:19;660;23.0;13.9
302:21;660;75.0;13.9
302:1;660;9.0;13.9
302:3;660;30.0;13.9
302:5;660;82.0;13.9
302:23;660;28.0;13.9
302:7;660;66.0;13.9
304:11;660;113.0;13.9
304:13;660;225.0;13.9
304:1;660;64.0;13.9
304:3;660;176.0;13.9
304:15;660;42.0;13.9
304:5;660;49.0;13.9
304:17;660;70.0;13.9
404:13;660;109.0;13.9
404:15;660;91.0;13.9
404:7;660;112.0;13.9
404:9;660;110.0;13.9
404:11;660;38.0;13.9
404:1;660;104.0;13.9
404:3;660;124.0;13.9
404:5;660;47.0;13.9
404:19;660;147.0;13.9
404:21;660;204.0;13.9
404:23;660;179.0;13.9
502:19;660;110.0;13.9
502:21;660;174.0;13.9
502:23;660;90.0;13.9
502:1;660;58.0;13.9
502:3;660;113.0;13.9
502:5;660;95.0;13.9
502:11;660;156.0;13.9
502:13;660;114.0;13.9
502:15;660;40.0;13.9
502:17;660;98.0;13.9
502:7;660;108.0;13.9
502:9;660;71.0;13.9
601:1;660;50.0;13.9
601:11;660;57.0;13.9
601:13;660;43.0;13.9
601:15;660;3.0;13.9
601:17;660;24.0;13.9
601:5;660;2.0;13.9
601:7;660;40.0;13.9
306:9;720;45.0;13.9
306:11;720;59.0;13.9
306:27;720;92.0;13.9
306:29;720;85.0;13.9
306:13;720;49.0;13.9
306:1;720;174.0;13.9
306:23;720;110.0;13.9
306:15;720;33.0;13.9
306:17;720;49.0;13.9
306:19;720;19.0;13.9
306:3;720;155.0;13.9
306:5;720;146.0;13.9
306:25;720;53.0;13.9
306:21;720;74.0;13.9
306:7;720;44.0;13.9
402:1;720;118.0;13.9
402:3;720;109.0;13.9
402:5;720;76.0;13.9
402:7;720;8.0;13.9
402:9;720;95.0;13.9
402:11;720;70.0;13.9
402:13;720;57.0;13.9
402:15;720;115.0;13.9
402:17;720;79.0;13.9
402:19;720;31.0;13.9
601:5;720;2.0;13.9
601:7;720;37.0;13.9
601:15;720;3.0;13.9
601:17;720;21.0;13.9
601:11;720;54.0;13.9
601:13;720;53.0;13.9
601:1;720;49.0;13.9
302:9;720;154.0;13.9
302:11;720;69.0;13.9
302:13;720;35.0;13.9
302:25;720;55.0;13.9
302:27;720;197.0;13.9
302:15;720;55.0;13.9
302:29;720;101.0;13.9
302:17;720;24.0;13.9
302:19;720;27.0;13.9
302:21;720;76.0;13.9
302:1;720;11.0;13.9
302:3;720;36.0;13.9
302:5;720;82.0;13.9
302:23;720;25.0;13.9
302:7;720;72.0;13.9
304:11;720;121.0;13.9
304:13;720;256.0;13.9
304:1;720;96.0;13.9
304:3;720;172.0;13.9
304:15;720;47.0;13.9
304:5;720;52.0;13.9
304:17;720;64.0;13.9
404:13;720;108.0;13.9
404:15;720;93.0;13.9
404:17;720;1.0;13.9
404:7;720;108.0;13.9
404:9;720;110.0;13.9
404:11;720;45.0;13.9
404:1;720;129.0;13.9
404:3;720;145.0;13.9
